mode: atomic
auth/pkg/service/helpers.go:21.28,29.16 6 0
auth/pkg/handler/methods.go:150.47,154.2 2 0
auth/pkg/handler/middlewares.go:32.26,34.3 1 0
auth/pkg/handler/middlewares.go:41.37,50.12 7 0
auth/pkg/handler/middlewares.go:50.12,54.3 3 0
auth/pkg/handler/middlewares.go:56.2,56.30 1 0
auth/pkg/handler/middlewares.go:56.30,62.10 4 0
auth/pkg/handler/middlewares.go:63.19,64.19 1 0
auth/pkg/handler/middlewares.go:64.19,66.5 1 0
auth/pkg/handler/middlewares.go:67.11,84.13 7 0
auth/pkg/handler/middlewares.go:89.67,93.27 3 0
auth/pkg/handler/middlewares.go:93.27,98.3 4 0
auth/pkg/handler/middlewares.go:101.33,104.16 3 0
auth/pkg/handler/middlewares.go:104.16,106.3 1 0
auth/pkg/handler/middlewares.go:107.2,107.38 1 0
auth/pkg/handler/response.go:12.71,16.2 2 0
